Language	Dialects
aust1304	ruru1237
aust1304	tubu1240
avar1256	ancu1238
avar1256	anda1281
avar1256	baca1241
avar1256	batl1238
avar1256	hidd1238
avar1256	kara1473
avar1256	kaxi1241
avar1256	kele1253
avar1256	kunz1243
avar1256	sala1265
avar1256	shul1242
avar1256	unti1238
avar1256	zaka1239
avar1256	zaqa1242
avau1237	gasm1237
avok1242	ajug1238
avok1242	avok1243
avok1242	nort2812
avok1242	ojil1238
awab1243	awab1244
awab1243	came1251
awab1243	wona1238
awad1243	gang1265
awad1243	mirz1238
awad1243	pard1244
awad1243	thar1280
awad1243	utta1238
awad1244	bili1252
awad1244	gale1258
awad1244	suit1237
awad1244	yama1259
awad1244	yori1237
awap1236	ilak1239
awap1236	nort2919
awap1236	sout2942
awap1236	taun1251
awar1249	nubi1252
awar1249	nucl1639
awee1242	badd1234
awee1242	bire1234
awee1242	cent2334
awee1242	jara1277
awee1242	kije1234
awee1242	kili1272
awee1242	nucl1772
awee1242	safa1247
awee1242	sout3265
awut1241	efut1241
awut1241	nucl1351
awut1241	seny1238
ayac1239	anda1285
ayac1239	huan1249
ayiz1245	ayiz1246
ayiz1245	ayiz1247
ayiz1245	ayiz1248
ayiz1245	kada1283
ayor1240	tsir1238
baan1241	kaba1279
baan1241	kesa1243
baba1268	avas1237
baba1268	kata1267
baba1268	kubo1243
baba1268	loma1262
baba1268	nucl1494
baba1268	seng1280
babu1240	favo1235
babu1240	poav1237
babu1240	taok1237
baca1246	muly1238
baca1246	opal1238
baca1246	wadu1238
bada1258	gala1266
bada1258	mbat1251
bada1261	akoo1250
bada1261	bada1262
bade1248	gash1250
bade1248	shir1268
bade1248	sout3053
bade1248	west2711
baet1237	naro1250
baet1237	nasa1241
baet1237	tali1260
bafa1247	bafa1248
bafa1247	balo1263
bafi1243	bape1238
bafi1243	kpaa1242
bafu1246	bufe1238
bafu1246	nucl1413
baga1272	mara1388
bagh1251	bana1282
bagh1251	gaho1238
bagh1251	godw1242
bagh1251	ojhi1238
bagh1251	sonp1238
bagh1251	tirh1246
bagi1246	bang1360
bagi1246	damm1238
bagi1246	goll1238
bagi1246	kiba1246
bago1245	bago1246
bago1245	kusu1251
bagv1239	tlis1238
bahi1252	bane1244
bahi1252	dobo1243
bahi1252	namb1290
bahi1252	proc1238
bahi1252	rokh1238
bahn1262	alak1252
bahn1262	bahn1263
bahn1262	gola1254
bahn1262	jolo1240
bahn1262	kont1244
bahn1262	krem1240
bahn1262	tolo1253
baik1238	kais1241
baik1238	taib1241
baik1238	uist1237
baim1244	nort2706
baim1244	sout2713
baim1244	west2412
bain1261	guja1254
bain1261	guny1242
baka1273	babo1241
baka1273	bafu1245
baka1273	balo1262
baka1273	bane1245
baka1273	mane1262
baka1273	nucl1402
bakh1245	char1266
bakh1245	chel1241
bakh1245	haft1238
bakh1245	kuhr1238
bako1249	adie1238
bako1249	biso1242
bako1249	mban1266
bako1249	yaby1238
bako1249	yaka1273
bako1249	yapo1244
bako1249	yass1240
baku1263	meng1268
baku1263	nucl1555
bakw1243	dafa1242
bakw1243	defa1250
bakw1243	depl1238
bakw1243	niga1242
bakw1243	nyin1249
bala1301	fora1244
bala1301	kant1248
bala1301	mane1239
bala1301	naga1400
bala1302	fgan1238
bala1302	fjaa1238
bala1311	daon1242
bala1311	kabi1262
bala1311	luta1238
bala1311	nucl1552
bala1311	sibu1253
bala1311	sibu1254
bali1274	bafw1242
bali1274	baku1261
bali1274	beke1238
bali1274	bemi1238
bali1278	high1274
bali1278	lowl1258
bali1278	nusa1244
balk1252	arli1238
balk1252	dzam1241
balk1252	east2313
balk1252	gree1277
balk1252	iron1243
balk1252	pasp1238
balk1252	tinn1238
balk1252	tins1238
balk1252	ursa1238
balk1252	zarg1238
balk1254	danu1248
balk1254	gajo1239
balk1254	gerl1239
balk1254	kyzy1245
balk1254	razg1238
balk1254	surg1247
balk1254	tozl1239
balo1261	dzam1242
balo1261	loii1242
balo1261	maku1274
balo1261	mamp1245
balt1257	esto1257
balt1257	latv1250
balt1257	lith1252
balt1257	nort2655
balt1257	poli1261
balt1257	whit1260
balt1257	whit1261
balu1257	balu1258
balu1257	pamm1243
bamb1262	kere1282
bamb1262	nucl1341
bamb1266	bamb1267
bamb1266	bamb1268
bamb1269	bele1249
bamb1269	gana1273
bamb1269	sann1238
bamb1269	sego1238
bamb1269	sika1260
bamb1269	somo1238
bamb1269	stan1305
bamb1270	bamb1271
bamb1270	buma1246
bamb1270	issi1237
bamb1270	mata1286
bamb1270	meha1242
bamb1270	pakk1243
bamb1270	salu1250
bamu1257	gama1254
bamu1257	lowe1421
bamu1257	nuhi1238
bamu1257	sisi1249
bamu1257	uppe1434
bana1288	bana1289
bana1288	guba1246
bana1288	mali1281
bana1305	gamb1258
bana1305	gili1246
band1340	affi1239
band1340	elun1241
band1340	nucl1346
band1342	buka1254
band1342	mbre1245
band1342	moru1251
band1342	saba1261
band1342	wada1260
band1343	bere1248
band1343	buru1297
band1343	gbag1255
band1343	gbam1238
band1343	govo1238
band1343	haii1241
band1343	kaaa1238
band1343	mbii1238
band1343	ndii1240
band1343	ngal1297
band1343	ngol1244
band1343	nucl1365
band1343	vidi1238
band1343	wund1238
band1344	gben1241
band1344	joto1238
band1344	lind1246
band1344	ndok1253
band1344	ngap1238
band1345	band1346
band1345	band1347
band1345	jung1239
band1345	ngao1244
band1345	ngba1288
band1345	tang1341
band1352	hasa1248
band1352	hemb1243
band1352	luka1238
band1352	taha1240
band1352	wawa1247
band1352	wulu1242
band1355	elat1240
band1355	elii1237
bang1345	kopa1246
bang1345	tora1258
bang1347	baag1244
bang1347	nort2776
bang1348	kaal1239
bang1348	naab1242
bang1350	homb1238
bang1350	kase1254
bang1350	mike1238
bang1350	nond1239
bang1350	nucl1386
bang1350	sanz1244
bang1368	east2492
bang1368	west2570
bani1254	nucl1671
bani1254	quir1245
bani1255	hoho1238
bani1255	sius1255
banj1239	hulu1245
banj1239	kual1252
bant1281	east2359
bant1281	inte1256
bant1281	nort2729
bant1281	sout2737
bant1281	west2423
bant1288	bant1289
bant1288	cala1257
bant1288	odio1237
bant1288	siba1241
bant1288	sima1260
bara1367	mesi1244
bara1367	nucl1523
bara1370	long1412
bara1370	long1413
bara1375	mari1434
bara1375	sipi1238
bara1380	come1252
bara1380	jane1236
bara1380	taiw1247
barc1235	kple1238
barc1235	wede1238
bard1255	jawi1238
bard1255	nucl1338
bare1279	guil1240
bare1279	jalk1246
bare1279	komi1275
bare1279	saka1296
bari1284	kuku1285
bari1284	ligo1238
bari1284	nyan1314
bari1284	nyep1239
bari1284	poju1239
baro1253	nucl1489
baro1253	usen1237
baru1267	guli1243
baru1267	nucl1457
baru1267	usir1238
baru1267	want1250
baru1269	bare1274
baru1269	mado1239
baru1269	nucl1604
baru1269	tafo1238
barz1241	barz1242
barz1241	biji1250
barz1241	sand1282
barz1241	shah1261
basa1284	bake1242
basa1284	bass1261
basa1284	bibe1238
basa1284	bonn1241
basa1284	dibo1246
basa1284	logg1238
basa1284	mpoo1238
basa1284	ndok1254
basa1284	ndok1255
basa1284	ndok1256
basa1284	nyam1278
basa1286	bera1265
basa1286	bina1272
basa1286	bulu1254
basa1286	duma1254
basa1286	jemb1237
basa1286	kara1491
basa1287	lina1245
basa1287	trob1237
bash1263	nort2644
bash1263	sout2644
bash1264	burz1239
bash1264	kuva1242
bash1264	yurm1239
basq1248	alto1237
basq1248	alto1238
basq1248	aval1237
basq1248	basq1249
basq1248	basq1250
basq1248	bisc1236
basq1248	east1470
basq1248	guip1235
basq1248	labo1236
basq1248	ronc1236
basq1248	west1508
bass1260	mien1244
bata1292	alas1254
bata1293	sing1240
bata1298	ayan1239
bata1298	ducl1237
bata1298	nucl1544
bata1314	dems1242
bata1314	garo1255
bata1314	jira1247
bata1314	kobo1254
bata1314	mala1531
bata1314	ndee1246
bata1314	riba1250
bata1314	wadi1258
bata1314	zumu1241
bate1262	bate1263
bate1262	bate1266
batu1255	aman1261
batu1255	angw1241
batu1255	kami1257
baub1235	asse1237
baub1235	dong1297
baub1235	empa1241
baub1235	grog1237
baub1235	gumb1243
baub1235	krok1237
baub1235	sera1265
baub1235	sing1269
baub1235	sten1237
baub1235	suti1238
baub1235	taup1243
baub1235	teng1270
bauc1238	mada1283
bauc1238	supa1245
bauc1238	waya1265
baur1252	haun1237
baur1252	nucl1475
baur1252	rawo1242
bauz1241	aume1238
bauz1241	gesd1238
bauz1241	neao1242
bava1246	cent1967
bava1246	nort2634
bava1246	sout2632
bava1246	uppe1398
bava1246	vien1238
bayo1255	essi1238
bayo1255	kuge1239
beam1240	komo1262
beam1240	nort2903
bebe1248	ekii1242
bebe1248	many1260
bedj1245	bebo1242
bedj1245	nucl1425
bedj1245	yomm1243
beem1239	keen1240
beem1239	yari1242
befa1241	bang1355
befa1241	mode1249
befa1241	nucl1410
befa1241	oban1245
befa1241	okom1242
befa1241	usha1238
begb1241	ejar1238
begb1241	koro1302
begb1241	koro1303
beja1238	abab1239
beja1238	amar1281
beja1238	beni1248
beja1238	bish1251
beja1238	hada1239
beja1238	hade1248
bekw1242	esel1238
bela1254	cent1954
bela1254	nort2598
bela1254	sout2603
beli1257	bahr1243
beli1257	sopi1241
beli1257	wulu1239
bemb1257	chis1242
bemb1257	kabe1244
bemb1257	lemb1262
bemb1257	lomo1240
bemb1257	luun1238
bemb1257	muku1240
bemb1257	ngom1266
bemb1257	ngum1254
bemb1257	nwes1238
bemb1257	town1238
bemb1257	twao1242
bemb1257	unga1253
benc1235	merr1238
benc1235	nucl1433
benc1235	shee1239
beng1280	bahe1242
beng1280	bari1281
beng1280	bhat1266
beng1280	cent1983
beng1280	chir1281
beng1280	gand1253
beng1280	kach1275
beng1280	koch1248
beng1280	muss1245
beng1280	nort2658
beng1280	rajs1238
beng1280	sama1293
beng1280	sara1311
beng1280	siri1268
beng1280	vang1242
beng1287	bala1308
beng1287	lesa1237
beng1287	nucl1533
bera1261	bolo1264
bera1261	mana1291
bera1261	mond1264
bera1261	yiry1246
beri1253	bita1253
bero1242	bach1243
bero1242	cenn1239
bero1242	duro1238
bero1242	fanf1238
bero1242	gyel1241
bero1242	hoss1238
bert1248	bake1241
bert1248	dabu1241
bert1248	fada1248
bert1248	goba1245
bert1248	mayu1240
bert1248	shur1242
bert1248	undu1236
besi1244	beti1247
besi1244	kual1250
besi1244	mala1455
besi1244	sela1257
besi1244	sisi1247
besi1244	ulul1240
bete1262	bend1257
bete1262	bete1263
beto1236	ayri1234
beto1236	beto1237
beto1236	jira1248
beto1236	lola1252
beto1236	mafi1234
beto1236	nucl1771
beto1236	quil1257
beto1236	situ1240
beto1236	situ1241
bezh1248	khoc1238
bezh1248	nucl1322
bezh1248	tlya1238
bhad1241	bhal1244
bhad1241	pada1255
bhad1241	pada1256
bhel1238	bugo1238
bhil1251	ahir1242
bhil1251	anar1243
bhil1251	bhil1252
bhil1251	bhim1238
bhil1251	char1267
bhil1251	habu1240
bhil1251	konk1265
bhil1251	kota1270
bhil1251	magr1238
bhil1251	naha1260
bhil1251	naik1249
bhil1251	panc1245
bhil1251	pate1245
bhil1251	rana1245
bhil1251	rani1238
bhil1251	siya1241
bhil1253	pary1243
bhoj1244	bast1245
bhoj1244	bena1257
bhoj1244	bhoj1245
bhoj1244	bojp1238
bhoj1244	domr1239
bhoj1244	gora1260
bhoj1244	madh1242
bhoj1244	maur1239
bhoj1244	musa1261
bhoj1244	nort2656
bhoj1244	purb1238
bhoj1244	sara1310
bhoj1244	sout2661
bhoj1244	teli1241
bhoj1244	thar1278
bhoj1244	west2379
biak1248	ario1238
biak1248	booo1258
biak1248	bosn1246
biak1248	dwar1237
biak1248	fair1237
biak1248	jenu1241
biak1248	kame1252
biak1248	kori1261
biak1248	kori1262
biak1248	mand1439
biak1248	mapi1249
biak1248	mios1237
biak1248	mofu1239
biak1248	mono1271
biak1248	opif1237
biak1248	pado1241
biak1248	pena1261
biak1248	rumb1239
biak1248	samb1318
biak1248	samp1252
biak1248	sore1238
biak1248	sori1241
biak1248	sorr1241
biak1248	sund1253
biak1248	voge1237
biak1248	wadi1251
biak1248	ward1247
biak1248	wari1263
biak1248	wars1237
bial1238	dass1239
bial1238	goua1238
bial1238	mate1256
bial1238	ping1242
bial1238	porg1241
bial1238	tang1343
bial1238	tiho1238
bian1252	ngow1239
bian1252	yong1282
biao1254	biao1255
biao1254	jiao1242
biao1256	nucl1324
biao1256	shim1251
biat1246	sibu1256
biat1246	stan1307
biat1246	tibi1237
bidi1241	biga1242
bidi1241	gara1267
bidi1241	jekk1238
bidi1241	nalg1238
bidi1241	oboy1238
bidy1244	anha1238
bidy1244	kagb1241
bidy1244	kajo1240
bidy1244	kamo1253
bier1246	nucl1480
bier1246	vovo1238
bila1255	bomb1260
bila1255	nyak1259
bilb1242	diuu1237
bilb1242	lele1271
bilb1242	nucl1537
bilm1238	bilm1239
bilm1238	fach1238
bima1247	kolo1266
bima1247	mboj1237
bima1247	nucl1518
bima1247	sang1334
bima1247	tolo1256
bimi1240	bimm1238
bimi1240	nimt1238
bina1275	maaa1254
bina1275	neme1245
bina1277	amba1268
bina1277	bina1278
bine1240	boze1239
bine1240	irup1239
bine1240	kuni1264
bine1240	masi1270
bine1240	sebe1243
bine1240	soga1243
bine1240	tate1244
birg1239	abgu1238
birg1239	agra1238
birg1239	dugu1257
birg1239	east2639
birr1240	mbot1238
birr1240	mung1268
bish1244	mada1280
bish1244	raja1252
biso1243	pika1238
biss1248	bara1365
biss1248	bark1245
biss1248	lebi1240
biss1248	lere1242
blaf1238	mbla1238
blaf1238	ranm1238
blag1240	apur1252
blag1240	baka1276
blag1240	lima1248
blag1240	pura1258
blan1242	kemd1239
blan1242	phan1252
bodo1267	mund1322
bodo1267	mund1323
bodo1269	chot1240
bodo1269	mech1238
bogu1241	buku1248
bogu1241	nucl1381
boik1241	cent2125
boik1241	east2525
boik1241	hari1250
boik1241	isla1275
boik1241	kuna1263
boik1241	kwus1239
boik1241	munj1245
boik1241	west2606
boka1249	ashi1243
boka1249	pail1243
boka1249	ramo1243
boko1261	bokp1240
boko1261	gbay1285
boko1261	nucl1364
boko1267	kaia1244
boko1267	vill1241
boky1238	aboo1241
boky1238	basu1241
boky1238	boje1238
boky1238	boki1239
boky1238	boor1238
boky1238	east2399
boky1238	irru1238
boky1238	irua1238
boky1238	kwak1265
boky1238	nsad1238
boky1238	okuu1242
boky1238	osok1238
boky1238	oyok1238
boky1238	wula1245
bola1250	haru1243
bola1250	nucl1497
bola1252	atin1241
bola1252	nucl1549
bolg1251	bolg1252
bolg1251	bolg1253
bolo1266	blac1270
bolo1266	whit1268
bomb1262	boko1264
bomb1262	ebuk1238
bomb1262	lika1244
bomb1262	ling1264
bomi1238	cent2036
bomi1238	nort2802
bomk1234	bomm1240
bomk1234	krim1238
bomu1247	bomb1259
bomu1247	daha1240
bomu1247	dwem1238
bomu1247	koni1258
bomu1247	mand1420
bomu1247	maoo1244
bomu1247	tere1274
bomu1247	togo1253
bomu1247	wahu1238
bona1250	jish1241
bona1250	tong1310
bond1245	lowe1394
bond1245	uppe1405
bond1248	bond1252
bond1248	kind1242
bond1248	nadj1238
bone1254	karo1301
bone1254	nucl1576
bong1285	bung1266
bong1285	buse1238
bong1285	tonj1245
book1241	bauk1238
book1241	koko1270
book1241	teng1271
bopa1235	kabo1249
bopa1235	niki1238
bopa1235	umur1238
bora1263	mira1254
bora1263	nucl1660
bora1271	arsi1238
bora1271	bora1272
bora1271	gabr1255
bora1271	guji1239
bora1271	kere1294
bora1271	saku1238
bora1271	sala1277
bora1271	yaab1234
bore1247	bore1248
bore1247	boro1280
bore1247	botb1238
borg1235	atak1250
borg1235	baku1260
borg1235	djou1238
borg1235	kora1290
borg1235	tcha1240
bori1243	kark1255
bori1243	komk1238
bori1243	pasi1253
bori1243	shim1250
boro1277	amur1243
boro1277	gami1244
boro1277	guba1244
boro1277	wemb1240
boro1279	koso1245
boro1279	yang1299
boru1244	booo1255
boru1244	ruku1239
botl1242	nucl1323
botl1242	zibi1241
boto1242	ayta1251
boto1242	samb1320
boun1243	naba1252
boun1243	sekw1242
boun1245	mara1405
boun1245	miye1238
bouy1240	qian1260
bouy1240	qian1265
bouy1240	qian1266
brah1256	jhar1241
brah1256	kala1375
brah1256	sara1314
braj1242	anta1252
braj1242	bhuk1238
braj1242	braj1243
braj1242	dang1258
braj1242	jado1238
braj1242	sika1259
bret1244	corn1250
bret1244	leon1251
bret1244	midd1359
bret1244	oldb1248
bret1244	treg1244
bret1244	vann1244
brib1243	amub1238
brib1243	coro1254
brib1243	sali1302
broo1239	sout2917
brun1242	brun1243
brun1242	kamp1243
brun1242	keda1250
buam1238	ouar1238
bube1242	nort2804
bube1242	sout2819
bube1242	sout2820
budu1248	budu1249
budu1248	yerg1242
budu1250	bafw1241
budu1250	east2407
budu1250	inet1238
budu1250	maha1297
budu1250	mako1252
budu1250	mala1472
budu1250	wadi1250
budu1250	west2475
budu1265	kuri1265
budu1265	nort3049
budu1265	nucl1686
budu1265	sout3052
budz1238	bosa1244
budz1238	mbil1239
budz1238	monz1250
budz1238	yali1255
buen1244	home1246
buen1244	tula1254
bugh1239	hage1247
bugh1239	vula1237
bugi1244	barr1249
bugi1244	bone1252
bugi1244	camb1243
bugi1244	luwu1237
bugi1244	pang1292
bugi1244	pasa1242
bugi1244	sawi1255
bugi1244	sidr1237
bugi1244	sinj1241
bugi1244	sopp1246
bugi1244	wajo1237
bugl1243	boko1272
bugl1243	saba1272
bugu1246	bich1234
bugu1246	dikh1234
bugu1246	kasp1234
bugu1246	namp1239
bugu1246	sing1271
bugu1246	wang1301
buka1257	buka1258
buka1257	buka1259
buka1257	ment1250
buki1248	puna1269
buki1248	puna1270
buki1249	coas1296
buki1249	nucl1592
buku1249	nucl1391
buku1249	tach1241
bulg1262	pali1272
bulg1262	poma1238
buli1255	buli1256
buli1255	waya1267
bull1247	kafu1238
bull1247	mman1238
bulo1242	budi1247
bulo1242	bulo1243
bulu1251	bene1244
bulu1251	yeli1239
